Startup,Industry,Founder,Gender,Funding Stage,Amount,Investors
Skinkraft,Beauty & Wellness,Dr. Raj,Male,Seed,60,"Anupam Mittal, Aman Gupta"
InnoTech AI,Tech,Neha Sharma,Female,Series A,150,Peeyush Bansal
GreenGrocery,Food & Beverage,Karan Mehta,Male,Pre-Seed,30,Aman Gupta
FitGenie,Health & Fitness,Meera Das,Female,Seed,75,Anupam Mittal
TravelEase,Travel,Rahul Jain,Male,Series A,200,Namita Thapar
EcoSoles,Sustainability,Asha Iyer,Female,Seed,50,"Anupam Mittal, Vineeta Singh"
FarmFresh,AgriTech,Vikram Rao,Male,Seed,45,Vineeta Singh
SmartBin,Waste Management,Nina D’Souza,Female,Seed,70,Aman Gupta
EduBot,EdTech,Anita Roy,Female,Seed,85,Anupam Mittal
QuickChef,Food & Beverage,Ravi Rao,Male,Series A,120,Aman Gupta
NeuroTrack,Health & Fitness,Divya Nair,Female,Seed,65,Namita Thapar
CodeCrush,Tech,Aarav Desai,Male,Pre-Seed,40,Peeyush Bansal
PureNature,Beauty & Wellness,Deepa Verma,Female,Seed,55,Vineeta Singh
GreenFuel,Energy,Manish Khanna,Male,Series A,180,Anupam Mittal
BharatBazaar,E-Commerce,Sonal Singh,Female,Seed,70,"Peyush Bansal, Aman Gupta"
WaterNest,Sustainability,Harsha K,Male,Seed,60,Namita Thapar
FitFuel,Health & Fitness,Varun Shetty,Male,Series A,160,Vineeta Singh
FarmUp,AgriTech,Neelima Das,Female,Seed,90,Anupam Mittal
PackBuddy,Logistics,Arjun Lal,Male,Pre-Seed,35,Peyush Bansal
SkillBridge,EdTech,Ritika Ahuja,Female,Seed,95,Vineeta Singh
